day,shift_index,shift_label,day_type,planned_jobs,backlog_jobs_in,realized_queue,executed_sequence,unfinished_sequence,planned_job_count,backlog_in_count,executed_count,unfinished_count,planned_nominal_load,planned_robust_load,backlog_nominal_load,backlog_robust_load,realized_executed_load,capacity,slack,utilization_ratio,overflow_flag,backlog_end_of_day,weekend_day_used,maintenance_start_day,maintenance_end_day,stop_delay_total_min,stop_count_total,first_overflow_day_flag
10,1,night,weekday,[],"[48, 2, 57, 70, 25, 53, 16]","[48, 2, 57, 70, 25, 53, 16]","[48, 2]","[57, 70, 25, 53, 16]",0,7,2,5,0.0,0.0,1055.274023244991,1117.619201391292,344.4136310679372,480.0,135.58636893206278,0.7175283980582026,True,5,False,,,11.621275512543923,22,False
11,0,day,weekday,"[41, 62, 4, 9, 67]","[57, 70, 25, 53, 16]","[57, 70, 25, 53, 16, 41, 62, 4, 9, 67]","[57, 70, 25]","[53, 16, 41, 62, 4, 9, 67]",5,5,3,7,757.6432524002632,803.3091754231652,751.4860095688709,796.4634855590239,476.3588353041101,480.0,3.641164695889927,0.992414240216896,False,7,False,,,10.827246336792928,26,False
11,1,night,weekday,[],"[53, 16, 41, 62, 4, 9, 67]","[53, 16, 41, 62, 4, 9, 67]","[53, 16]","[41, 62, 4, 9, 67]",0,7,2,5,0.0,0.0,1064.457499293396,1127.8819305152128,360.66091982317624,480.0,119.33908017682376,0.7513769162982838,True,5,False,,,8.257968228902078,18,False
12,0,day,weekday,"[37, 99, 78, 22, 45, 5]","[41, 62, 4, 9, 67]","[41, 62, 4, 9, 67, 37, 99, 78, 22, 45, 5]","[41, 62, 4]","[9, 67, 37, 99, 78, 22, 45, 5]",6,5,3,8,886.3461248818965,935.3283925844779,757.6432524002632,803.3091754231652,472.0686630709715,480.0,7.931336929028475,0.9834763813978573,False,8,False,,,17.86651873782808,26,False
12,1,night,weekday,[],"[9, 67, 37, 99, 78, 22, 45, 5]","[9, 67, 37, 99, 78, 22, 45, 5]","[9, 67]","[37, 99, 78, 22, 45, 5]",0,8,2,6,0.0,0.0,1201.750070932893,1269.818467359084,338.4522785024701,480.0,141.5477214975299,0.7051089135468127,True,6,False,,,16.983054198773235,23,False
13,0,day,weekday,"[38, 81, 91, 42, 56, 63]","[37, 99, 78, 22, 45, 5]","[37, 99, 78, 22, 45, 5, 38, 81, 91, 42, 56, 63]","[37, 99]","[78, 22, 45, 5, 38, 81, 91, 42, 56, 63]",6,6,2,10,884.0548718528836,933.5119966975834,886.3461248818965,935.3283925844779,328.4327659538842,480.0,151.5672340461158,0.6842349290705921,False,10,False,,,9.454372050485677,13,False
13,1,night,weekday,[],"[78, 22, 45, 5, 38, 81, 91, 42, 56, 63]","[78, 22, 45, 5, 38, 81, 91, 42, 56, 63]","[78, 22, 45]","[5, 38, 81, 91, 42, 56, 63]",0,10,3,7,0.0,0.0,1487.8437776345552,1569.1503772822111,479.94465609961674,480.0,0.055343900383263644,0.9998847002075348,True,7,False,,,18.493682309939963,33,False
14,0,day,weekday,"[75, 92, 26, 55]","[5, 38, 81, 91, 42, 56, 63]","[5, 38, 81, 91, 42, 56, 63, 75, 92, 26, 55]","[5, 38]","[81, 91, 42, 56, 63, 75, 92, 26, 55]",4,7,2,9,589.9739664039041,625.561227524271,1038.5472267808948,1095.8746499611327,326.5300376517222,480.0,153.46996234827782,0.6802709117744212,False,9,False,,,7.6010245031293096,14,False
14,1,night,weekday,[],"[81, 91, 42, 56, 63, 75, 92, 26, 55]","[81, 91, 42, 56, 63, 75, 92, 26, 55]","[81, 91, 42]","[56, 63, 75, 92, 26, 55]",0,9,3,6,0.0,0.0,1330.4653177941218,1407.2021891550628,466.9027172316703,480.0,13.097282768329706,0.9727139942326465,True,6,False,,,13.674530435099541,23,False
15,0,day,weekday,"[66, 18, 21, 31, 20]","[56, 63, 75, 92, 26, 55]","[56, 63, 75, 92, 26, 55, 66, 18, 21, 31, 20]","[56, 63, 75]","[92, 26, 55, 66, 18, 21, 31, 20]",5,6,3,8,784.5085775386477,828.631615488228,888.7988899086196,942.7769175851997,469.5835947829964,480.0,10.416405217003614,0.9782991557979092,False,8,False,,,14.726854269443045,35,False
