n_jobs,weekday_days,weekend_extension_days,maintenance_duration,mu_scale,sigma_scale,k,job_abstraction,ct_proxy_whole_line_takt_min_per_unit,approx_units_per_model_job,shifts_per_day,daily_capacity_min,mean_uptime_between_stops,mean_stop_duration,stop_duration_cv,gurobi_status,solve_time_sec,solve_wall_time_sec,accepted_for_simulation,objective_value,planned_total_ot,n_days_with_planned_ot,mu_A_mean,mu_B_mean,sigma_A_mean,sigma_B_mean,mu_total_mean,mu_total_min,mu_total_max,sigma_total_mean,sigma_total_min,sigma_total_max,k_buffer_mean,k_buffer_min,k_buffer_max,p_robust_mean,p_robust_min,p_robust_max,total_nominal_load,total_robust_load,avg_nominal_load_per_day,avg_robust_load_per_day,daily_nominal_utilization_ratio,daily_robust_utilization_ratio,prob_cleared_within_weekdays,prob_cleared_within_extended_horizon,prob_terminal_backlog_after_extension,avg_terminal_backlog_after_extension,avg_max_backlog,avg_n_spillover_days,prob_any_spillover,avg_first_spillover_day,avg_n_weekend_days_used,prob_any_weekend_use,avg_weekend_used_time,avg_total_weekend_cost,avg_final_completion_day,system_ok
75,20,8,120.0,1.0,1.0,0.5,batch_level_workload_not_one_physical_unit,0.78,192,2,960.0,9.21,0.55,1.0,2,0.05572700500488281,0.16390442848205566,True,0.0,0.0,0,90.62863638649256,60.225556511780525,14.409309309353814,9.484330123810064,150.85419289827308,138.21134642062276,167.57992473573003,17.304458101855506,12.037673680533384,21.11127089203247,8.652229050927753,6.018836840266692,10.555635446016234,159.50642194920084,146.17395778574692,176.13716833249273,11314.06446737048,11962.981646190065,565.7032233685239,598.1490823095032,0.5892741910088791,0.6230719607390659,0.0,1.0,0.0,0.0,5.08,9.03,1.0,1.34,1.0,1.0,424.86653220364934,3698.9322576291947,21.0,True
75,20,8,120.0,1.0,1.0,1.0,batch_level_workload_not_one_physical_unit,0.78,192,2,960.0,9.21,0.55,1.0,2,0.00011491775512695312,0.005195140838623047,True,0.0,0.0,0,90.62863638649256,60.225556511780525,14.409309309353814,9.484330123810064,150.85419289827308,138.21134642062276,167.57992473573003,17.304458101855506,12.037673680533384,21.11127089203247,17.304458101855506,12.037673680533384,21.11127089203247,168.1586510001286,153.31629468121972,184.69441192925544,11314.06446737048,12611.898825009646,565.7032233685239,630.5949412504823,0.5892741910088791,0.6568697304692523,0.17,1.0,0.0,0.0,6.53,12.95,1.0,2.31,0.83,0.83,190.19660542433525,1770.572843394682,20.83,True
75,20,8,120.0,1.0,1.0,1.5,batch_level_workload_not_one_physical_unit,0.78,192,2,960.0,9.21,0.55,1.0,2,0.00011205673217773438,0.005050182342529297,True,0.0,0.0,0,90.62863638649256,60.225556511780525,14.409309309353814,9.484330123810064,150.85419289827308,138.21134642062276,167.57992473573003,17.304458101855506,12.037673680533384,21.11127089203247,25.956687152783257,18.056510520800074,31.666906338048705,176.81088005105633,160.45863157669254,194.0919507990953,11314.06446737048,13260.816003829224,565.7032233685239,663.0408001914612,0.5892741910088791,0.6906675001994388,0.21,1.0,0.0,0.0,6.53,13.05,1.0,2.31,0.79,0.79,184.87088667910103,1715.9670934328083,20.79,True
100,20,8,120.0,1.0,1.0,0.5,batch_level_workload_not_one_physical_unit,0.78,192,2,960.0,9.21,0.55,1.0,2,0.008285045623779297,0.014748811721801758,True,0.0,0.0,0,90.31618711333893,60.250589899835035,14.32193784540211,9.488272385703153,150.56677701317398,138.2062408707232,169.02174923268495,17.233493413806155,12.037673680533384,22.880943719559852,8.616746706903077,6.018836840266692,11.440471859779926,159.18352372007703,146.17395778574692,178.40848487263673,15056.677701317392,15918.352372007706,752.8338850658696,795.9176186003854,0.7842019636102808,0.8290808527087348,0.0,1.0,0.0,0.0,17.42,21.72,1.0,1.25,3.78,1.0,2492.2948634475565,21072.358907580452,23.78,True
100,20,8,120.0,1.0,1.0,1.0,batch_level_workload_not_one_physical_unit,0.78,192,2,960.0,9.21,0.55,1.0,2,0.00014400482177734375,0.0066394805908203125,True,0.0,0.0,0,90.31618711333893,60.250589899835035,14.32193784540211,9.488272385703153,150.56677701317398,138.2062408707232,169.02174923268495,17.233493413806155,12.037673680533384,22.880943719559852,17.233493413806155,12.037673680533384,22.880943719559852,167.80027042698012,153.31629468121972,187.79522051258851,15056.677701317392,16780.027042698013,752.8338850658696,839.0013521349007,0.7842019636102808,0.8739597418071882,0.0,1.0,0.0,0.0,16.69,21.7,1.0,2.15,3.85,1.0,2452.823576480889,20777.588611847113,23.85,True
100,20,8,120.0,1.0,1.0,1.5,batch_level_workload_not_one_physical_unit,0.78,192,2,960.0,9.21,0.55,1.0,2,0.00014400482177734375,0.006664276123046875,True,0.0,0.0,0,90.31618711333893,60.250589899835035,14.32193784540211,9.488272385703153,150.56677701317398,138.2062408707232,169.02174923268495,17.233493413806155,12.037673680533384,22.880943719559852,25.850240120709234,18.056510520800074,34.32141557933978,176.4170171338832,160.45863157669254,197.18195615254027,15056.677701317392,17641.701713388316,752.8338850658696,882.0850856694158,0.7842019636102808,0.9188386309056414,0.0,1.0,0.0,0.0,16.66,21.66,1.0,2.15,3.81,1.0,2447.880831807147,20726.046654457175,23.81,True
125,20,8,120.0,1.0,1.0,0.5,batch_level_workload_not_one_physical_unit,0.78,192,2,960.0,9.21,0.55,1.0,9,7200.013187170029,7731.550993442535,False,3712.665525878908,706.5331051757815,1,90.2298190181384,60.42662878822508,14.247671743381046,9.515995017569463,150.65644780636347,131.97349322372438,169.02174923268495,17.188003257770536,12.037673680533384,22.880943719559852,8.594001628885268,6.018836840266692,11.440471859779926,159.25044943524873,140.84100139014993,178.40848487263673,18832.055975795436,19906.306179406096,941.6027987897718,995.3153089703048,0.9808362487393456,1.036786780177401,,,,,,,,,,,,,,False
125,20,8,120.0,1.0,1.0,1.0,batch_level_workload_not_one_physical_unit,0.78,192,2,960.0,9.21,0.55,1.0,9,7253.862185955048,7849.809773683548,False,11047.50602006146,1813.501203907415,12,90.2298190181384,60.42662878822508,14.247671743381046,9.515995017569463,150.65644780636347,131.97349322372438,169.02174923268495,17.188003257770536,12.037673680533384,22.880943719559852,17.188003257770536,12.037673680533384,22.880943719559852,167.844451064134,149.70850955657548,188.05527473933728,18832.055975795436,20980.556383016752,941.6027987897718,1049.0278191508376,0.9808362487393456,1.0927373116154557,,,,,,,,,,,,,,False
125,20,8,120.0,1.0,1.0,1.5,batch_level_workload_not_one_physical_unit,0.78,192,2,960.0,9.21,0.55,1.0,9,7200.014266014099,7930.722116947174,False,17300.51784577861,2884.1039528836995,16,90.2298190181384,60.42662878822508,14.247671743381046,9.515995017569463,150.65644780636347,131.97349322372438,169.02174923268495,17.188003257770536,12.037673680533384,22.880943719559852,25.782004886655802,18.056510520800074,34.32141557933978,176.4384526930193,158.57601772300103,198.4214171446618,18832.055975795436,22054.806586627405,941.6027987897718,1102.7403293313703,0.9808362487393456,1.1486878430535108,,,,,,,,,,,,,,False
