day,shift_index,shift_label,day_type,planned_jobs,backlog_jobs_in,realized_queue,executed_sequence,unfinished_sequence,planned_job_count,backlog_in_count,executed_count,unfinished_count,planned_nominal_load,planned_robust_load,backlog_nominal_load,backlog_robust_load,realized_executed_load,capacity,slack,utilization_ratio,overflow_flag,backlog_end_of_day,weekend_day_used,maintenance_start_day,maintenance_end_day,stop_delay_total_min,stop_count_total,first_overflow_day_flag
11,0,day,weekday,"[41, 62, 4, 9, 67]","[53, 16]","[53, 16, 41, 62, 4, 9, 67]","[53, 16]","[41, 62, 4, 9, 67]",5,2,2,5,757.6432524002632,803.3091754231652,306.8142468931328,324.5727550920476,348.6437838268624,480.0,131.35621617313762,0.7263412163059633,False,5,False,,,0.0,0,False
11,1,night,weekday,[],"[41, 62, 4, 9, 67]","[41, 62, 4, 9, 67]","[41, 62, 4]","[9, 67]",0,5,3,2,0.0,0.0,757.6432524002632,803.3091754231652,467.8761256888572,480.0,12.1238743111428,0.9747419285184525,True,2,False,,,0.0,0,False
12,0,day,weekday,"[37, 99, 78, 22, 45, 5]","[9, 67]","[9, 67, 37, 99, 78, 22, 45, 5]","[9, 67, 37]","[99, 78, 22, 45, 5]",6,2,3,5,886.3461248818965,935.3283925844779,315.40394605099664,334.49007477460634,468.4831430274685,480.0,11.516856972531514,0.9760065479738926,False,5,False,,,0.0,0,False
12,1,night,weekday,[],"[99, 78, 22, 45, 5]","[99, 78, 22, 45, 5]","[99, 78, 22]","[45, 5]",0,5,3,2,0.0,0.0,747.0465392975934,786.9660237432427,449.6825866844932,480.0,30.317413315506826,0.9368387222593608,True,2,False,,,0.0,0,False
13,0,day,weekday,"[38, 81, 91, 42, 56, 63]","[45, 5]","[45, 5, 38, 81, 91, 42, 56, 63]","[45, 5]","[38, 81, 91, 42, 56, 63]",6,2,2,6,884.0548718528836,933.5119966975834,306.56210074813265,323.39649104708053,331.3715683382674,480.0,148.62843166173258,0.6903574340380572,False,6,False,,,0.0,0,False
13,1,night,weekday,[],"[38, 81, 91, 42, 56, 63]","[38, 81, 91, 42, 56, 63]","[38, 81, 91]","[42, 56, 63]",0,6,3,3,0.0,0.0,884.0548718528836,933.5119966975834,463.29177315338336,480.0,16.70822684661664,0.9651911940695487,True,3,False,,,0.0,0,False
14,0,day,weekday,"[75, 92, 26, 55]","[42, 56, 63]","[42, 56, 63, 75, 92, 26, 55]","[42, 56]","[63, 75, 92, 26, 55]",4,3,2,5,589.9739664039041,625.561227524271,445.99320947466435,473.0314573773925,324.5946613778516,480.0,155.4053386221484,0.6762388778705242,False,5,False,173.36655284650027,293.36655284650027,0.0,0,False
14,1,night,weekday,[],"[63, 75, 92, 26, 55]","[63, 75, 92, 26, 55]","[63, 75, 92]","[26, 55]",0,5,3,2,0.0,0.0,740.014840117337,784.2616898160081,436.8968146556082,480.0,43.10318534439182,0.9102016971991838,True,2,False,,,0.0,0,False
15,0,day,weekday,"[66, 18, 21, 31, 20]","[26, 55]","[26, 55, 66, 18, 21, 31, 20]","[26, 55]","[66, 18, 21, 31, 20]",5,2,2,5,784.5085775386477,828.631615488228,312.2549535350203,329.6028302927298,319.3705138963593,480.0,160.62948610364072,0.6653552372840819,False,5,False,,,0.0,0,False
15,1,night,weekday,[],"[66, 18, 21, 31, 20]","[66, 18, 21, 31, 20]","[66, 18, 21]","[31, 20]",0,5,3,2,0.0,0.0,784.5085775386477,828.631615488228,477.7983492960984,480.0,2.201650703901578,0.995413227700205,True,2,False,,,0.0,0,False
